"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\a\Desktop\code\full stack apps\sellout1\backend\controllers\authController.js", "JavaScript", 0, 139, 4, 14, 157
"c:\Users\a\Desktop\code\full stack apps\sellout1\backend\lib\nodemailer.js", "JavaScript", 0, 10, 0, 1, 11
"c:\Users\a\Desktop\code\full stack apps\sellout1\backend\lib\utils.js", "JavaScript", 0, 117, 1, 6, 124
"c:\Users\a\Desktop\code\full stack apps\sellout1\backend\middleware\limmiter.js", "JavaScript", 0, 10, 0, 2, 12
"c:\Users\a\Desktop\code\full stack apps\sellout1\backend\middleware\protectedRoute.js", "JavaScript", 0, 20, 0, 3, 23
"c:\Users\a\Desktop\code\full stack apps\sellout1\backend\models\UserModel.js", "JavaScript", 0, 52, 0, 3, 55
"c:\Users\a\Desktop\code\full stack apps\sellout1\backend\package-lock.json", "JSON", 1661, 0, 0, 1, 1662
"c:\Users\a\Desktop\code\full stack apps\sellout1\backend\package.json", "JSON", 28, 0, 0, 1, 29
"c:\Users\a\Desktop\code\full stack apps\sellout1\backend\routes\authRouter.js", "JavaScript", 0, 19, 0, 2, 21
"c:\Users\a\Desktop\code\full stack apps\sellout1\backend\server.js", "JavaScript", 0, 25, 0, 2, 27
"Total", "-", 1689, 392, 5, 35, 2121
